name,place ID,coordinates,business types,n_restaurants,n_grocery,n_retail,n_entertainment,n_religious,n_industry
Subway,ChIJbVDlWkpZXIYR39_rqdD0MWk,"29.4180127, -98.55193279999999","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
St Joseph's Church,ChIJ5YHFuaNZXIYRUYMhQtwe6M8,"29.36796520000001, -98.5466524","['church', 'place_of_worship', 'point_of_interest', 'establishment']",15,0,0,0,0,0
Dip your whip customs,ChIJR_KwH_1ZXIYRiDUWzkRys7A,"29.4238037, -98.4935679","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Walmart Supercenter,ChIJSWw8t-P0XIYRfzY2t3lU6eg,"29.4900674, -98.4374749","['department_store', 'supermarket', 'grocery_or_supermarket', 'electronics_store', 'home_goods_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,0,0,0
Mission Mitsubishi,ChIJ8eKtEBBgXIYRZiu2PSa6M2I,"29.5294095, -98.49616619999999","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Denny's,ChIJEVwU-UpYXIYRnRjwr4G9n3A,"29.3559601, -98.5256213","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,1,0,0
"Rent-A-Tire Custom Wheels & Tires in San Antonio, TX",ChIJHxFUho1eXIYRkP_OC1ga8Tw,"29.4555556, -98.5541667","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Boricua Food Market,ChIJ8d5Ox_r0XIYRUilnXuY9xuc,"29.4852933, -98.42804699999999","['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",14,0,0,0,0,0
St. Mary Magdalen Catholic Church,ChIJxS5KN6xfXIYRSH0BUnbyXC4,"29.4774382, -98.5234431","['church', 'place_of_worship', 'point_of_interest', 'establishment']",15,0,0,0,0,0
AutoZone Auto Parts,ChIJ84e1YKf3XIYRmkgnjhS9yY4,"29.3662889, -98.4410748","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
Custom Sounds & Tint - Walzem,ChIJl1_sG0XzXIYRwA9BP3Tm0ec,"29.5099028, -98.3856036","['electronics_store', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Wendy's,ChIJk7x0LsheXIYRcE3dAJmgx7A,"29.4307185, -98.5495533","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
La Margarita Mexican Restaurant & Oyster Bar,ChIJ44hzy0xfXIYRpsU8TsxP0hk,"29.4249299, -98.49907759999999","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Texas Roadhouse,ChIJf4XP8pv3XIYRarsOwjrqW4s,"29.35248999999999, -98.44923","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
