name,place ID,coordinates,business types,n_restaurants,n_grocery,n_retail,n_entertainment,n_religious,n_industry
Jason's Deli,ChIJiSvJZQZgXIYRnvVboooYS2Y,"29.5213757, -98.49377170000001","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
AutoZone Auto Parts,ChIJLVrUrGdnXIYRCe2Uf3ifYzM,"29.52022879999999, -98.5965322","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Temple of God Full Gospel,ChIJ3YZAdab3XIYRLYqfS9-B3AM,"29.369028, -98.445758","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Hard Rock Cafe,ChIJpRYLVKtYXIYRkiYLb7JtPlg,"29.4252393, -98.4891711","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
March Avenue Baptist Church,ChIJW3ywf-L3XIYRo4yYbRnf9HQ,"29.348061, -98.484116","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Walmart Auto Care Centers,ChIJ1_AlVTDxXIYRJxZO4DQKC4U,"29.4004358, -98.38604579999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,1,0,0,0,0
Igniting The Harvest Church,ChIJM-Vy8v1bXIYR2mEocmTAPHI,"29.4111618, -98.5736835","['church', 'place_of_worship', 'point_of_interest', 'establishment']",10,0,0,0,0,0
Family Dollar,ChIJ-UpNZaBfXIYRKNwrS3_MrKw,"29.4709136, -98.5084737","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,1,0,0,0,0
St. Benedict Catholic Church,ChIJSRJhALT2XIYRa_MmbevDO0o,"29.4144156, -98.40307109999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",8,0,0,0,0,0
Universal Auto Glass,ChIJV44m8VFZXIYRhZwcSu8wcE8,"29.414509, -98.56203699999999","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
La Fiesta,ChIJFSlgwQn3XIYR3gqZrmcY2VM,"29.3666667, -98.43972219999999","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
Olive Garden Italian Restaurant,ChIJAUIwRylNW4YRuRKWGZ8G8ik,"29.507527, -98.397301","['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Ancira Kia,ChIJPZJmgbtdXIYRQrMMgUCuN4o,"29.48721, -98.60686539999999","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Subway,ChIJq1ch6l9XXIYRrCgWLD6DtJ4,"29.32174, -98.55429269999999","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",13,0,0,0,0,0
Faith Missionary Baptist Church,ChIJn4pf7WDzXIYR_m2S3b8GJuU,"29.499095, -98.393068","['church', 'place_of_worship', 'point_of_interest', 'establishment']",11,1,0,0,0,0
Dunkin',ChIJzcXNQ1rzXIYRtjXPijqgMOE,"29.5106879, -98.3893234","['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
TriPoint - A Center for Life,ChIJ6QHt9on1XIYR0kK-7a4ONKk,"29.4547268, -98.4834736","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Caliber Collision,ChIJ_W4UVf_1XIYRVrlk2AtezW4,"29.4318978, -98.4839464","['car_repair', 'point_of_interest', 'establishment']",20,0,0,1,0,0
Paul D Hooks Automotive Inc,ChIJU_HglPZdXIYRGaChCTvpOZQ,"29.5062217, -98.58761729999999","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
The Smokehouse,ChIJlw5X3fb2XIYRSzzVCqpatYU,"29.3977065, -98.4362814","['restaurant', 'food', 'point_of_interest', 'establishment']",11,0,0,0,0,0
Flores tire & muffler shop,ChIJyzFFyGtfXIYRH3mA2WXFQ08,"29.4267202, -98.5719943","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
South Memorial Christian Church,ChIJPWSZXAdYXIYR3Gr_yetSrG0,"29.3404179, -98.48471719999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",1,0,0,0,0,0
Advance Auto Parts,ChIJCwonxEz2XIYROkSgfCgY28Q,"29.3837877, -98.4554601","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
TrailerMax,ChIJbZnlJynxXIYRaiNq3r7a6lg,"29.3907072, -98.3883276","['car_repair', 'point_of_interest', 'establishment']",16,1,0,0,0,0
Iglesia Vision Y Restauracion,ChIJB5kN44deXIYRmQSGcqecrW8,"29.4660988, -98.5611648","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Volkswagen of Alamo Heights,ChIJbSNjByz1XIYRVEWv7v1GPgc,"29.51533690000001, -98.44579309999999","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",19,0,0,0,0,0
Las Canarias,ChIJK8UsNlNfXIYRi1qjMU6JaQ8,"29.4257692, -98.4906338","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
AutoZone Auto Parts,ChIJZaxBpE5ZXIYRH5bPEjnGIZU,"29.41486209999999, -98.55657869999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
St John Berchmans Church,ChIJs_oEvGpZXIYRz_jGM1-oR6I,"29.3973355, -98.5505776","['place_of_worship', 'church', 'point_of_interest', 'establishment']",18,0,0,0,0,0
World Car Kia San Antonio,ChIJje7PC0FeXIYRfg5taU3R0f4,"29.48672109999999, -98.5476341","['car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
Rios Meat Market,ChIJiXapIMxZXIYR3GeHOrqxhx4,"29.3462932, -98.5337496","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",15,0,0,0,0,0
Low Price Auto Glass,ChIJb_tMkRVXXIYRbzlQXLf2L6s,"29.30117899999999, -98.548672","['car_repair', 'point_of_interest', 'establishment']",2,0,0,0,0,0
Northside Chevrolet,ChIJ_7PgVg5gXIYRlg9tefD7X0Q,"29.5259118, -98.4980205","['finance', 'car_dealer', 'car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Philadelphia Seventh-Day Adventist Church,ChIJD_yUR8z2XIYRc3xzTgLCN-w,"29.4005025, -98.4003266","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Los Patios,ChIJZSE7F9L0XIYRjskmPbYpToY,"29.5200023, -98.4312133","['restaurant', 'food', 'point_of_interest', 'establishment']",4,0,0,0,0,0
Gateway Baptist Church,ChIJ48WEklVaXIYRPsfOtPJIeRg,"29.367308, -98.61565739999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",3,0,0,0,0,0
Certifit Auto Body Parts,ChIJqeZiDXz0XIYRxioZkIOiUjw,"29.4709745, -98.40356129999999","['car_repair', 'point_of_interest', 'store', 'establishment']",0,0,0,0,0,0
Burger King,ChIJ4Z5Ha931XIYRTXPucPulHZM,"29.4372196, -98.4612899","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Lively Stone International Christian,ChIJY4Cj7Xr2XIYRV129Zk3C1RA,"29.4181428, -98.44958919999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",12,0,0,0,0,0
The Salvation Army Center of Hope Corps Worship Center,ChIJg8uSEU9fXIYRiob_OoUfKx4,"29.4346717, -98.4982799","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,1,0,0,0,0
Confraternidad de Iglesias Cristianas USA,ChIJKcLfHa9eXIYR3oepGgcL-wk,"29.4293515, -98.5651336","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJU_GBQ2dnXIYRW2KroJgZCxE,"29.5189773, -98.59566459999999","['supermarket', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",20,0,0,0,0,0
River of Life Church,ChIJRRmYSQH3XIYRCB67XHxGVII,"29.3773548, -98.4359913","['church', 'place_of_worship', 'point_of_interest', 'establishment']",1,0,0,0,0,0
Nelson Performance,ChIJz_gi1A34XIYR0zFpjOmST6w,"29.316567, -98.4756969","['car_repair', 'point_of_interest', 'establishment']",16,0,0,0,0,0
Kingdom Hall of Jehovah's Witnesses,ChIJFaJQqadYXIYRP3hfDBDCZk4,"29.41147699999999, -98.486621","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Oblate Missions,ChIJWW2j7udfXIYRWjHYv9XpZo0,"29.5046432, -98.5009266","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Walgreen's,ChIJbzBNcqdfXIYRAgNDlpe9LpE,"29.505051, -98.50011119999999","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Blue Star Bike Shop,ChIJ7Q2ZLrtYXIYR5lRVYOpJQBg,"29.4096631, -98.4953457","['bicycle_store', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
Hung Phong Oriental Market,ChIJf7V8TmLzXIYRITVAhzhLwJc,"29.492731, -98.39401009999999","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",9,1,0,0,0,0
Abundant Life Church Of God - City Base,ChIJkzULXuv3XIYRICZ-RvacSqI,"29.3524683, -98.4635855","['church', 'place_of_worship', 'point_of_interest', 'establishment']",12,1,0,0,0,0
Fort Sam Houston Commissary,ChIJWQZt6Mn1XIYReULyDYj8p9I,"29.4488165, -98.44658539999999","['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",17,0,0,0,0,0
Hooters,ChIJbxMhgapYXIYRzseSNP_gcTo,"29.4242768, -98.4851123","['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Thad Ziegler Glass,ChIJHz1ybIBgXIYRe5mLLzZFfMc,"29.51666, -98.52915399999999","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Gabriels Garage,ChIJ4e61a1NfXIYRx10BVDkhtA4,"29.4224535, -98.5639765","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
La Casa Del Alfarero (Church Of God 7th Day),ChIJcx4mS6leXIYRnqdtewUN0B4,"29.42762279999999, -98.56637169999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Trinity Baptist Church,ChIJDX_sdGNfXIYRxxiwAOE2Ezw,"29.4570734, -98.48755919999999","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Capitol Auto Parts,ChIJofuApuH3XIYRi1NW8kJJcWA,"29.352935, -98.48183300000001","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
First Choice International Supermarket,ChIJTzuYbL1dXIYR8oF1j7z1Mmk,"29.4850212, -98.6030483","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
All American's Tire & Auto Repair,ChIJ8RCRe_FZXIYR-IPLhQsCaGQ,"29.4144006, -98.5627665","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Epworth United Methodist Church,ChIJQZFIzgj3XIYRvbxyeJnrVPQ,"29.36926539999999, -98.4352852","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,1,0,0
St Bonaventure Church,ChIJSUaMW-BZXIYRQgP67M_VP1c,"29.3311111, -98.5519444","['church', 'place_of_worship', 'point_of_interest', 'establishment']",9,0,0,0,0,0
Discount Tire,ChIJvevdM3D3XIYRNxLYhDztwKs,"29.35117559999999, -98.430004","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Perez Texaco,ChIJ7ZhowWBYXIYRbmQ5lLVZf3o,"29.373753, -98.50453","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Arlan's Market,ChIJZ-5cL6leXIYRJomWOEHMi_Y,"29.4284233, -98.5668652","['grocery_or_supermarket', 'supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Kum & Go,ChIJDYh_HW73XIYRPPKYbWWbvRw,"29.3956615, -98.4813863","['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Ride Away Bicycles,ChIJPasMuTFdXIYRl9de3oXtqpQ,"29.5480183, -98.5813774","['bicycle_store', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
